Task,Metric,Input 1,Input 2,Input 1 Description,Input 2 Description
Cluster,silhouette,obsm embedding key,obs column,Low-dimensional embedding (e.g. X_umap X_pca X_scvi),Cluster label column (e.g. scvi_leiden_donorassay_full)
Cluster,calinski_harabasz,obsm embedding key,obs column,Low-dimensional embedding (e.g. X_umap X_pca X_scvi),Cluster label column (e.g. scvi_leiden_donorassay_full)
Cluster,davies_bouldin,obsm embedding key,obs column,Low-dimensional embedding (e.g. X_umap X_pca X_scvi),Cluster label column (e.g. scvi_leiden_donorassay_full)
Cluster,dbcvi,obsm embedding key,obs column,Low-dimensional embedding (e.g. X_umap X_pca X_scvi),Cluster label column (e.g. scvi_leiden_donorassay_full)
Cluster,kolmogorov_smirnov,obsm embedding key,obs column,Low-dimensional embedding (e.g. X_umap X_pca X_scvi),Cluster label column (e.g. scvi_leiden_donorassay_full)
Annotation,adj_rand_index,obs column,obs column,Reference annotation column (ground truth),Predicted annotation column (to evaluate)
Annotation,adj_mutual_info,obs column,obs column,Reference annotation column (ground truth),Predicted annotation column (to evaluate)
Annotation,normalized_mutual_info,obs column,obs column,Reference annotation column (ground truth),Predicted annotation column (to evaluate)
Annotation,fowlkes_mallows,obs column,obs column,Reference annotation column (ground truth),Predicted annotation column (to evaluate)
Annotation,vmeasure,obs column,obs column,Reference annotation column (ground truth),Predicted annotation column (to evaluate)
Annotation,mutual_info,obs column,obs column,Reference annotation column (ground truth),Predicted annotation column (to evaluate)
Annotation,rand_index,obs column,obs column,Reference annotation column (ground truth),Predicted annotation column (to evaluate)
Annotation,isolated_f1_score,obs column,obs column,Reference annotation column (ground truth),Predicted annotation column (to evaluate)
Annotation,average_silhouette_width,obsm embedding key,obs column,Low-dimensional embedding (e.g. X_umap X_pca X_scvi),Cell-type or cluster label column
Annotation,dunn_index,obsm embedding key,obs column,Low-dimensional embedding (e.g. X_umap X_pca X_scvi),Cell-type or cluster label column
Batch Correction,iLISI,obsm embedding key,obs column,Low-dimensional embedding (e.g. X_umap X_pca X_scvi),Batch label column (e.g. donor_id assay)
Batch Correction,cLISI,obsm embedding key,obs column,Low-dimensional embedding (e.g. X_umap X_pca X_scvi),Cell-type label column (e.g. cell_type)
Batch Correction,kbet,obsm embedding key,obs column,Low-dimensional embedding (e.g. X_umap X_pca X_scvi),Batch label column (e.g. donor_id assay)
Batch Correction,pcr,obsm embedding key,obs column,Low-dimensional embedding (e.g. X_umap X_pca X_scvi),Batch label column (e.g. donor_id assay)
Batch Correction,graph_connectivity,obsm embedding key,obs column,Low-dimensional embedding (e.g. X_umap X_pca X_scvi),Cell-type label column (e.g. cell_type)
Dimred,kruskal_stress,obsm key,obsm key or X,Low-dim embedding (e.g. X_umap X_tsne),High-dim reference (X = raw counts or X_pca for large atlases)
Dimred,spearman_rho,obsm key,obsm key or X,Low-dim embedding (e.g. X_umap X_tsne),High-dim reference (X = raw counts or X_pca for large atlases)
Dimred,dCor,obsm key,obsm key or X,Low-dim embedding (e.g. X_umap X_tsne),High-dim reference (X = raw counts or X_pca for large atlases)
Dimred,coknn,obsm key,obsm key or X,Low-dim embedding (e.g. X_umap X_tsne),High-dim reference (X = raw counts or X_pca for large atlases)
Dimred,entourage,obsm key,obsm key or X,Low-dim embedding (e.g. X_umap X_tsne),High-dim reference (X = raw counts or X_pca for large atlases)
Dimred,lcmc,obsm key,obsm key or X,Low-dim embedding (e.g. X_umap X_tsne),High-dim reference (X = raw counts or X_pca for large atlases)
Dimred,den_pre,obsm key,obsm key or X,Low-dim embedding (e.g. X_umap X_tsne),High-dim reference (X = raw counts or X_pca for large atlases)
Dimred,avg_jaccard_dis,obsm key,obsm key or X,Low-dim embedding (e.g. X_umap X_tsne),High-dim reference (X = raw counts or X_pca for large atlases)
Dimred,ged,obsm key,obsm key or X,Low-dim embedding (e.g. X_umap X_tsne),High-dim reference (X = raw counts or X_pca for large atlases)
Dimred,trustworthiness,obsm key,obsm key or X,Low-dim embedding (e.g. X_umap X_tsne),High-dim reference (X = raw counts or X_pca for large atlases) [DISABLED - OOM for large atlases]
Dimred,continuity,obsm key,obsm key or X,Low-dim embedding (e.g. X_umap X_tsne),High-dim reference (X = raw counts or X_pca for large atlases) [DISABLED - OOM for large atlases]
Annotation,cell_cycle_conservation,obsm key,obsm key,Embedding before integration,Embedding after integration [DISABLED - requires adata before/after pair]
Annotation,highly_variable_genes,obsm key,obsm key,Embedding before integration,Embedding after integration [DISABLED - requires adata before/after pair]
