Annot_Sample	Reference	obs	adj_mutual_info	adj_mutual_info_running_time	adj_rand_index	adj_rand_index_running_time	average_silhouette_width	average_silhouette_width_running_time	cLISI	cLISI_running_time	dunn_index	dunn_index_running_time	fowlkes_mallows	fowlkes_mallows_running_time	graph_connectivity	graph_connectivity_running_time	iLISI	iLISI_running_time	isolated_f1_score	isolated_f1_score_running_time	kbet	kbet_running_time	mutual_info	mutual_info_running_time	normalized_mutual_info	normalized_mutual_info_running_time	pcr	pcr_running_time	rand_index	rand_index_running_time	vmeasure	vmeasure_running_time
blood_X_pca__scvi_batch	X_pca	_scvi_batch															0.017000488936901093	0.108			0.9959992021869464	0.066					0.9614698218474201	122.838				
blood_X_pca_assay	X_pca	assay															0.004863262176513672	0.115			0.11555383478230263	0.066					0.9992960569408353	5.457				
blood_X_pca_assay_ontology_term_id	X_pca	assay_ontology_term_id															0.004863262176513672	0.269			0.11555383478230263	0.335					0.9992960569408353	4.938				
blood_X_pca_cdna_plate	X_pca	cdna_plate															0.005096175453879617	0.276			0.028955920828786973	0.381					0.9927258290347876	30.844				
blood_X_pca_cell_type	X_pca	cell_type					0.2762639015313795	6.833	0.00949134145464216	0.335	0.03152725444952696	46.503			0.9166523124775154	0.088																
blood_X_pca_development_stage	X_pca	development_stage															0.04163980484008789	0.105			0.99799373482102	0.068					0.936914213907549	81.609				
blood_X_pca_development_stage_ontology_term_id	X_pca	development_stage_ontology_term_id															0.04163980484008789	0.286			0.99799373482102	0.357					0.936914213907549	81.949				
blood_X_pca_donor_assay	X_pca	donor_assay															0.017000488936901093	0.312			0.9959992021869464	0.376					0.9615402147767943	135.095				
blood_X_pca_donor_id	X_pca	donor_id															0.032455578446388245	0.34			0.9979116070066758	4.866					0.9450332342381215	111.64				
blood_X_pca_donor_method	X_pca	donor_method															0.02175407608350118	0.293			0.9960695974563842	0.352					0.9550643192464126	109.392				
blood_X_pca_donor_tissue	X_pca	donor_tissue															0.032455578446388245	0.114			0.9979116070066758	0.07					0.9449980367410277	100.953				
blood_X_pca_donor_tissue_assay	X_pca	donor_tissue_assay															0.017000488936901093	0.107			0.9959992021869464	0.067					0.9615402147767943	123.636				
blood_X_pca_free_annotation	X_pca	free_annotation					0.23115643439353048	7.0	0.005125553267342704	0.328	0.03152725444952696	49.833			0.8685740609626394	0.09																
blood_X_pca_library_plate	X_pca	library_plate															0.005096175453879617	0.107			0.028955920828786973	0.069					0.992702362430759	31.25				
blood_X_pca_replicate	X_pca	replicate															0.06094351410865784	0.262			0.24354416716529984	0.324					0.7990688228521651	83.7				
blood_X_pca_sample_id	X_pca	sample_id															0.020897301038106282	0.319			0.994943273145378	0.765					0.8450130142089927	215.522				
blood_X_pca_sample_number	X_pca	sample_number															0.19264179468154907	0.084			0.8679032768997923	0.04					0.5714460709185896	19.803				
blood_X_pca_scvi_leiden_donorassay_full	X_pca	scvi_leiden_donorassay_full					0.37329192838417163	6.858	0.0021079381306966147	0.332	0.033454298973083496	82.22			0.9344215811592985	0.09																
blood_X_pca_sex	X_pca	sex															0.08218193054199219	0.105			0.9698356270458626	0.069					0.9614703008841236	11.386				
blood_X_pca_sex_ontology_term_id	X_pca	sex_ontology_term_id															0.08218193054199219	0.265			0.9698356270458626	0.429					0.9614703008841236	11.081				
blood_X_scvi__scvi_batch	X_scvi	_scvi_batch															0.12948624789714813	0.119			0.9590416857320522	0.068					0.8480397401691157	59.017				
blood_X_scvi_assay	X_scvi	assay															0.11554080247879028	0.111			0.16378632689216618	0.069					0.901129709642295	25.697				
blood_X_scvi_assay_ontology_term_id	X_scvi	assay_ontology_term_id															0.11554080247879028	0.118			0.16378632689216618	0.071					0.9011179766844164	27.398				
blood_X_scvi_cdna_plate	X_scvi	cdna_plate															0.0044491182674061165	0.118			0.08849858622833878	0.071					0.977637766912317	20.163				
blood_X_scvi_cell_type	X_scvi	cell_type					0.1637326666669602	6.796	0.01905026322319394	0.117	0.0027186719235032797	33.921			0.8603130975223535	0.074																
blood_X_scvi_development_stage	X_scvi	development_stage															0.2695295413335164	0.111			0.9482125467835228	0.07					0.7783382059831807	47.538				
blood_X_scvi_development_stage_ontology_term_id	X_scvi	development_stage_ontology_term_id															0.2695295413335164	0.111			0.9482125467835228	0.074					0.7783382059831807	47.128				
blood_X_scvi_donor_assay	X_scvi	donor_assay															0.12948624789714813	0.119			0.9590416857320522	0.073					0.8479458833887973	62.248				
blood_X_scvi_donor_id	X_scvi	donor_id															0.21201956272125244	0.116			0.974423052104232	1.252					0.8177006209327434	50.438				
blood_X_scvi_donor_method	X_scvi	donor_method															0.15021069844563803	0.12			0.9585019886663616	0.072					0.8312981624172704	55.194				
blood_X_scvi_donor_tissue	X_scvi	donor_tissue															0.21201956272125244	0.113			0.974423052104232	0.072					0.8177123518258089	52.667				
blood_X_scvi_donor_tissue_assay	X_scvi	donor_tissue_assay															0.12948624789714813	0.121			0.9590416857320522	0.071					0.8479458833887973	62.423				
blood_X_scvi_free_annotation	X_scvi	free_annotation					0.008235802500357787	6.914	0.01342214856828962	0.114	0.0021115716081112623	38.314			0.685471020490965	0.079																
