Annot_Sample	Reference	obs	adj_mutual_info	adj_mutual_info_running_time	adj_rand_index	adj_rand_index_running_time	average_silhouette_width	average_silhouette_width_running_time	cLISI	cLISI_running_time	dunn_index	dunn_index_running_time	fowlkes_mallows	fowlkes_mallows_running_time	graph_connectivity	graph_connectivity_running_time	iLISI	iLISI_running_time	isolated_f1_score	isolated_f1_score_running_time	kbet	kbet_running_time	mutual_info	mutual_info_running_time	normalized_mutual_info	normalized_mutual_info_running_time	pcr	pcr_running_time	rand_index	rand_index_running_time	vmeasure	vmeasure_running_time
liver_X_pca__scvi_batch	X_pca	_scvi_batch															0.02735636234283447	0.022			0.9974790672548843	0.015					0.9968486921689441	5.515				
liver_X_pca_assay	X_pca	assay															0.008518457412719727	0.021			0.03767894120824705	0.016					1.0	2.943				
liver_X_pca_assay_ontology_term_id	X_pca	assay_ontology_term_id															0.008518457412719727	0.173			0.03767894120824705	0.337					1.0	3.151				
liver_X_pca_cdna_plate	X_pca	cdna_plate															0.010599678212946112	0.184			0.038309174394525976	0.277					0.982758596228601	24.429				
liver_X_pca_cell_type	X_pca	cell_type					0.20646750962732718	0.928	0.015530316726021145	0.187	0.010172748938202858	6.693			0.8780864322194697	0.027																
liver_X_pca_development_stage	X_pca	development_stage															0.04458447297414144	0.02			0.997749167191861	0.016					0.9683997096444907	1.983				
liver_X_pca_development_stage_ontology_term_id	X_pca	development_stage_ontology_term_id															0.04458447297414144	0.021			0.997749167191861	0.016					0.9683997096444907	2.158				
liver_X_pca_donor_assay	X_pca	donor_assay															0.02735636234283447	0.024			0.9974790672548843	0.017					0.9968486921689441	5.186				
liver_X_pca_donor_id	X_pca	donor_id															0.04458447297414144	0.195			0.997749167191861	4.369					0.9683997096444907	2.542				
liver_X_pca_donor_method	X_pca	donor_method															0.02735636234283447	0.177			0.9974790672548843	0.284					0.9968486921689441	5.036				
liver_X_pca_donor_tissue	X_pca	donor_tissue															0.04458447297414144	0.022			0.997749167191861	0.017					0.9683997096444907	2.48				
liver_X_pca_donor_tissue_assay	X_pca	donor_tissue_assay															0.02735636234283447	0.026			0.9974790672548843	0.016					0.9968486921689441	5.203				
liver_X_pca_free_annotation	X_pca	free_annotation					0.18122947444279228	0.992	0.006961234154239777	0.172	0.010172748938202858	7.175			0.896760748484021	0.024																
liver_X_pca_library_plate	X_pca	library_plate															0.008309245109558105	0.167			0.0382641577383632	0.377					0.9877104081789211	19.077				
liver_X_pca_replicate	X_pca	replicate															0.34994614124298096	0.018			0.790852615467723	0.012					0.731462277243706	4.704				
liver_X_pca_sample_id	X_pca	sample_id															0.03459992508093516	0.19			0.9841991536868642	0.285					0.8974971379430869	75.756				
liver_X_pca_sample_number	X_pca	sample_number															0.1586322784423828	0.015			0.8940307913928154	0.01					0.873010152207617	6.296				
