Task,Metric Name,adata Input 1,adata Input 2,adata Input 3,Summary
annotation,rand_index,adata.obs.<ref_key>,adata.obs.<pred_key>,,Compares two annotation columns (reference vs predicted) cell-by-cell; both are categorical labels from adata.obs
annotation,fowlkes_mallows,adata.obs.<ref_key>,adata.obs.<pred_key>,,Compares two annotation columns (reference vs predicted) cell-by-cell; both are categorical labels from adata.obs
annotation,adj_mutual_info,adata.obs.<ref_key>,adata.obs.<pred_key>,,Compares two annotation columns (reference vs predicted) cell-by-cell; both are categorical labels from adata.obs
annotation,vmeasure,adata.obs.<ref_key>,adata.obs.<pred_key>,,Compares two annotation columns (reference vs predicted) cell-by-cell; both are categorical labels from adata.obs
annotation,adj_rand_index,adata.obs.<ref_key>,adata.obs.<pred_key>,,Compares two annotation columns (reference vs predicted) cell-by-cell; both are categorical labels from adata.obs
annotation,normalized_mutual_info,adata.obs.<ref_key>,adata.obs.<pred_key>,,Compares two annotation columns (reference vs predicted) cell-by-cell; both are categorical labels from adata.obs
annotation,mutual_info,adata.obs.<ref_key>,adata.obs.<pred_key>,,Compares two annotation columns (reference vs predicted) cell-by-cell; both are categorical labels from adata.obs
annotation,isolated_f1_score,adata.obs.<ref_key>,adata.obs.<pred_key>,,Compares two annotation columns (reference vs predicted) cell-by-cell; both are categorical labels from adata.obs
annotation,average_silhouette_width,adata.obsm.<emb_key>,adata.obs.<label_key>,,Computes silhouette score on an embedding (adata.obsm) using labels from adata.obs
annotation,dunn_index,adata.obsm.<emb_key>,adata.obs.<label_key>,,Computes Dunn index on an embedding (adata.obsm) using labels from adata.obs
annotation,iLISI,adata.obsm.<emb_key> or adata.X,adata.obs.<batch_key>,,Measures batch mixing quality — uses embedding or raw counts + batch column from adata.obs
annotation,cLISI,adata.obsm.<emb_key> or adata.X,adata.obs.<label_key>,,Measures cell-type separation quality — uses embedding or raw counts + cell-type column from adata.obs
annotation,kbet,adata.obsm.<emb_key> or adata.X,adata.obs.<batch_key>,,Tests if local neighbourhood batch composition matches global distribution — embedding + batch column
annotation,pcr,adata.obsm.<emb_key> or adata.X,adata.obs.<batch_key>,,Principal component regression — tests batch effect in embedding via regression on batch column
annotation,graph_connectivity,adata.uns.<neighbors_key> + adata.obsp,adata.obs.<label_key>,,Evaluates connected components per biological group in the kNN graph — requires adata with precomputed neighbors
annotation,cell_cycle_conservation,adata (before correction),adata (after correction),,SKIPPED — requires adata_before and adata_after; not available in single-atlas mode
annotation,highly_variable_genes,adata (before correction),adata (after correction),,SKIPPED — requires adata_before and adata_after; not available in single-atlas mode
clustering,silhouette,adata.obsm.<emb_key> or adata.X,adata.obs.<cluster_label_key>,,Computes silhouette score on embedding using cluster labels from adata.obs (Leiden/Louvain/k-means/etc.)
clustering,davies_bouldin,adata.obsm.<emb_key> or adata.X,adata.obs.<cluster_label_key>,,Computes Davies-Bouldin index on embedding using cluster labels from adata.obs
clustering,calinski_harabasz,adata.obsm.<emb_key> or adata.X,adata.obs.<cluster_label_key>,,Computes Calinski-Harabasz index on embedding using cluster labels from adata.obs
clustering,dbcvi,adata.obsm.<emb_key> or adata.X,adata.obs.<cluster_label_key>,,Computes Density-Based Cluster Validity Index on embedding using cluster labels from adata.obs
clustering,kolmogorov_smirnov,adata.obsm.<emb_key> or adata.X,adata.obs.<cluster_label_key>,,Computes KS test between cluster distributions in embedding using cluster labels from adata.obs
dimred,kruskal_stress,adata.X (raw gene expression),adata.obsm.<low_dim_key>,,Compares pairwise distances in raw counts (adata.X) vs low-dimensional embedding (adata.obsm); lower = better
dimred,spearman_rho,adata.X (raw gene expression),adata.obsm.<low_dim_key>,,Spearman rank correlation of pairwise distances between raw counts and embedding; higher = better
dimred,entourage,adata.X (raw gene expression),adata.obsm.<low_dim_key>,adata.obs (labels),Evaluates local neighbourhood preservation between raw counts and embedding using cell labels
dimred,coknn,adata.X (raw gene expression),adata.obsm.<low_dim_key>,,Tests if kNN graphs are concordant between raw counts and embedding; higher = better
dimred,trustworthiness,adata.X (raw gene expression),adata.obsm.<low_dim_key>,,Measures how many low-dim neighbours are NOT neighbours in high-dim (false neighbours); higher = better
dimred,continuity,adata.X (raw gene expression),adata.obsm.<low_dim_key>,,Measures how many high-dim neighbours are LOST in low-dim (missing neighbours); higher = better
dimred,dCor,adata.X (raw gene expression),adata.obsm.<low_dim_key>,,Distance correlation between high-dim and low-dim distance matrices; higher = better
dimred,den_pre,adata.X (raw gene expression),adata.obsm.<low_dim_key>,,Density preservation — compares local density estimates between raw counts and embedding
dimred,lcmc,adata.X (raw gene expression),adata.obsm.<low_dim_key>,,Local Continuity Meta Criterion — measures local neighbourhood preservation quality
dimred,avg_jaccard_dis,adata.X (raw gene expression),adata.obsm.<low_dim_key>,,Average Jaccard distance between kNN sets in high-dim vs low-dim; lower = better
dimred,ged,adata.X (raw gene expression),adata.obsm.<low_dim_key>,,Graph Edit Distance between kNN graphs in high-dim vs low-dim; lower = better
